Time_s,Signal,Predicted,EstFreq_Hz,Error
0,0,0,0.6,0
0.01,0.0502392939991648,0,0.600000001496107,0.0502392939991648
0.02,0.100341644515345,0.0502424335113698,0.600000015870706,0.0500992110039752
0.03,0.150180528203496,0.100549360477662,0.600000085297715,0.0496311677258341
0.04,0.19963011249687,0.151054971741619,0.600000300705546,0.0485751407552512
0.05,0.248565573302328,0.201900353999809,0.600000762916329,0.0466652193025189
0.06,0.296863410084881,0.252776109224787,0.600001516502022,0.0440873008600944
0.07,0.344401757546112,0.303002956494862,0.600002552084813,0.0413988010512503
0.08,0.391060693109916,0.352101076547898,0.600003839421586,0.0389596165620176
0.09,0.436722539439735,0.399870241192319,0.600005344178728,0.036852298247416
0.1,0.481272161224178,0.446217562503061,0.60000703285856,0.035054598721117
0.11,0.52459725548252,0.491064848942716,0.600008874351908,0.0335324065398045
0.12,0.566588634658123,0.534324385813,0.600010840777027,0.0322642488451235
0.13,0.607140501786172,0.575897650399658,0.600012908068222,0.0312428513865136
0.14,0.646150717042273,0.61568056400186,0.600015056186434,0.0304701530404131
0.15,0.683521055000376,0.653571268397037,0.600017268663564,0.0299497866033392
0.16,0.719157451952104,0.68947900277006,0.600019531241505,0.0296784491820443
0.17,0.752970242664754,0.723332118776631,0.600021829622842,0.029638123888123
0.18,0.784874385982105,0.755082625228825,0.600024146737619,0.0297917607532803
0.19,0.8147896787004,0.78470556810753,0.600026460227142,0.0300841105928698
0.2,0.842640957181654,0.812193899515548,0.600028740837044,0.0304470576661062
0.21,0.868358286197475,0.837551435221597,0.600030952109678,0.0308068509758778
0.22,0.891877134528979,0.860786607800749,0.600033051390594,0.0310905267282301
0.23,0.913138536881901,0.881908431477872,0.60003499191671,0.031230105404029
0.24,0.932089241710668,0.900924735690331,0.60003672567943,0.0311645060203367
0.25,0.948681844580867,0.917842032172136,0.600038206790847,0.030839812408731
0.26,0.962874906736159,0.932666290371959,0.600039395151199,0.0302086163641999
0.27,0.974633058573105,0.945404076756139,0.600040260279203,0.0292289818169661
0.28,0.983927087765558,0.956063728550173,0.600040785211149,0.0278633592153846
0.29,0.990734011819123,0.964656391085046,0.600040970401323,0.026077620734077
0.3,0.995037134875511,0.971196841285401,0.600040837570529,0.0238402935901104
0.31,0.996826088626472,0.975704065517125,0.600040433456188,0.0211220231093471
0.32,0.996096857237149,0.978201576846736,0.600039833419776,0.0178952803904133
0.33,0.992851786219079,0.978717458194398,0.600039144867241,0.0141343280246812
0.34,0.987099575233652,0.977284112244511,0.600038510436346,0.0098154629891406
0.35,0.978855254847425,0.973937691494171,0.600038110901626,0.004917563353254
0.36,0.968140147301197,0.968717176188844,0.600038167742192,-0.000577028887647435
0.37,0.954981811395136,0.9616630675569,0.600038945308183,-0.00668125616176374
0.38,0.939413971632365,0.95281567256769,0.60004075250559,-0.0134017009353252
0.39,0.921476431803096,0.942212978902852,0.600043943892349,-0.0207365470997561
0.4,0.90121497323073,0.929888159753009,0.600048920036121,-0.0286731865222791
0.41,0.878681237939975,0.915866811433286,0.600056126921291,-0.0371855734933108
0.42,0.853932597045116,0.900164113749042,0.600066053651798,-0.0462315167039257
0.43,0.827032004693816,0.882784098166607,0.60007922748542,-0.0557520934727913
0.44,0.798047837938252,0.863726875823935,0.600096208916067,-0.0656790378856834
0.45,0.767053722940864,0.842992147603779,0.600117586195945,-0.0759384246629147
0.46,0.734128347956425,0.820581193962981,0.600143969103336,-0.0864528460065558
0.47,0.699355263565446,0.796498539183133,0.600175981949372,-0.097143275617687
0.48,0.662822670666066,0.77075330694552,0.600214255815004,-0.107930636279454
